#SampleID	SampleName	SampleType	Treatment	Gender	Day_after_transfer	Day_after_transfer_tissue	Fraction	Treat_Frac	Description
XR07.29.neg	XR07	Fecal	PAT	Female	29	29	IgA-	PAT_IgA-	29_PAT_IgA-
XR08.29.neg	XR08	Fecal	PAT	Female	29	29	IgA-	PAT_IgA-	29_PAT_IgA-
XR10.29.neg	XR10	Fecal	PAT	Male	29	29	IgA-	PAT_IgA-	29_PAT_IgA-
XR11.29.neg	XR11	Fecal	PAT	Male	29	29	IgA-	PAT_IgA-	29_PAT_IgA-
XR14.29.neg	XR14	Fecal	PAT	Male	29	29	IgA-	PAT_IgA-	29_PAT_IgA-
XR02.16.pre	XR02	Fecal	Control	Female	16	16	Total	Control_Total	16_Control_Total
XR05.16.pre	XR05	Fecal	Control	Female	16	16	Total	Control_Total	16_Control_Total
XR06.16.pre	XR06	Fecal	Control	Female	16	16	Total	Control_Total	16_Control_Total
XR09.16.pre	XR09	Fecal	Control	Male	16	16	Total	Control_Total	16_Control_Total
XR12.16.pre	XR12	Fecal	Control	Male	16	16	Total	Control_Total	16_Control_Total
XR13.16.pre	XR13	Fecal	Control	Male	16	16	Total	Control_Total	16_Control_Total
XR04.16.pre	XR04	Fecal	PAT	Female	16	16	Total	PAT_Total	16_PAT_Total
XR07.16.pre	XR07	Fecal	PAT	Female	16	16	Total	PAT_Total	16_PAT_Total
XR08.16.pre	XR08	Fecal	PAT	Female	16	16	Total	PAT_Total	16_PAT_Total
XR10.16.pre	XR10	Fecal	PAT	Male	16	16	Total	PAT_Total	16_PAT_Total
XR11.16.pre	XR11	Fecal	PAT	Male	16	16	Total	PAT_Total	16_PAT_Total
XR14.16.pre	XR14	Fecal	PAT	Male	16	16	Total	PAT_Total	16_PAT_Total
XR02.16.pos	XR02	Fecal	Control	Female	16	16	IgA+	Control_IgA+	16_Control_IgA+
XR05.16.pos	XR05	Fecal	Control	Female	16	16	IgA+	Control_IgA+	16_Control_IgA+
XR06.16.pos	XR06	Fecal	Control	Female	16	16	IgA+	Control_IgA+	16_Control_IgA+
XR09.16.pos	XR09	Fecal	Control	Male	16	16	IgA+	Control_IgA+	16_Control_IgA+
XR12.16.pos	XR12	Fecal	Control	Male	16	16	IgA+	Control_IgA+	16_Control_IgA+
XR13.16.pos	XR13	Fecal	Control	Male	16	16	IgA+	Control_IgA+	16_Control_IgA+
XR04.16.pos	XR04	Fecal	PAT	Female	16	16	IgA+	PAT_IgA+	16_PAT_IgA+
XR07.16.pos	XR07	Fecal	PAT	Female	16	16	IgA+	PAT_IgA+	16_PAT_IgA+
XR08.16.pos	XR08	Fecal	PAT	Female	16	16	IgA+	PAT_IgA+	16_PAT_IgA+
XR10.16.pos	XR10	Fecal	PAT	Male	16	16	IgA+	PAT_IgA+	16_PAT_IgA+
XR11.16.pos	XR11	Fecal	PAT	Male	16	16	IgA+	PAT_IgA+	16_PAT_IgA+
XR14.16.pos	XR14	Fecal	PAT	Male	16	16	IgA+	PAT_IgA+	16_PAT_IgA+
XR02.16.neg	XR02	Fecal	Control	Female	16	16	IgA-	Control_IgA-	16_Control_IgA-
XR05.16.neg	XR05	Fecal	Control	Female	16	16	IgA-	Control_IgA-	16_Control_IgA-
XR06.16.neg	XR06	Fecal	Control	Female	16	16	IgA-	Control_IgA-	16_Control_IgA-
XR09.16.neg	XR09	Fecal	Control	Male	16	16	IgA-	Control_IgA-	16_Control_IgA-
XR12.16.neg	XR12	Fecal	Control	Male	16	16	IgA-	Control_IgA-	16_Control_IgA-
XR13.16.neg	XR13	Fecal	Control	Male	16	16	IgA-	Control_IgA-	16_Control_IgA-
XR04.16.neg	XR04	Fecal	PAT	Female	16	16	IgA-	PAT_IgA-	16_PAT_IgA-
XR07.16.neg	XR07	Fecal	PAT	Female	16	16	IgA-	PAT_IgA-	16_PAT_IgA-
XR08.16.neg	XR08	Fecal	PAT	Female	16	16	IgA-	PAT_IgA-	16_PAT_IgA-
XR10.16.neg	XR10	Fecal	PAT	Male	16	16	IgA-	PAT_IgA-	16_PAT_IgA-
XR11.16.neg	XR11	Fecal	PAT	Male	16	16	IgA-	PAT_IgA-	16_PAT_IgA-
XR14.16.neg	XR14	Fecal	PAT	Male	16	16	IgA-	PAT_IgA-	16_PAT_IgA-
XR02.5.pre	XR02	Fecal	Control	Female	5	5	Total	Control_Total	5_Control_Total
XR05.5.pre	XR05	Fecal	Control	Female	5	5	Total	Control_Total	5_Control_Total
XR06.5.pre	XR06	Fecal	Control	Female	5	5	Total	Control_Total	5_Control_Total
XR09.5.pre	XR09	Fecal	Control	Male	5	5	Total	Control_Total	5_Control_Total
XR12.5.pre	XR12	Fecal	Control	Male	5	5	Total	Control_Total	5_Control_Total
XR13.5.pre	XR13	Fecal	Control	Male	5	5	Total	Control_Total	5_Control_Total
XR04.5.pre	XR04	Fecal	PAT	Female	5	5	Total	PAT_Total	5_PAT_Total
XR07.5.pre	XR07	Fecal	PAT	Female	5	5	Total	PAT_Total	5_PAT_Total
XR08.5.pre	XR08	Fecal	PAT	Female	5	5	Total	PAT_Total	5_PAT_Total
XR10.5.pre	XR10	Fecal	PAT	Male	5	5	Total	PAT_Total	5_PAT_Total
XR11.5.pre	XR11	Fecal	PAT	Male	5	5	Total	PAT_Total	5_PAT_Total
XR14.5.pre	XR14	Fecal	PAT	Male	5	5	Total	PAT_Total	5_PAT_Total
XR02.5.pos	XR02	Fecal	Control	Female	5	5	IgA+	Control_IgA+	5_Control_IgA+
XR05.5.pos	XR05	Fecal	Control	Female	5	5	IgA+	Control_IgA+	5_Control_IgA+
XR06.5.pos	XR06	Fecal	Control	Female	5	5	IgA+	Control_IgA+	5_Control_IgA+
XR09.5.pos	XR09	Fecal	Control	Male	5	5	IgA+	Control_IgA+	5_Control_IgA+
XR12.5.pos	XR12	Fecal	Control	Male	5	5	IgA+	Control_IgA+	5_Control_IgA+
XR13.5.pos	XR13	Fecal	Control	Male	5	5	IgA+	Control_IgA+	5_Control_IgA+
XR04.5.pos	XR04	Fecal	PAT	Female	5	5	IgA+	PAT_IgA+	5_PAT_IgA+
XR07.5.pos	XR07	Fecal	PAT	Female	5	5	IgA+	PAT_IgA+	5_PAT_IgA+
XR08.5.pos	XR08	Fecal	PAT	Female	5	5	IgA+	PAT_IgA+	5_PAT_IgA+
XR10.5.pos	XR10	Fecal	PAT	Male	5	5	IgA+	PAT_IgA+	5_PAT_IgA+
XR11.5.pos	XR11	Fecal	PAT	Male	5	5	IgA+	PAT_IgA+	5_PAT_IgA+
XR14.5.pos	XR14	Fecal	PAT	Male	5	5	IgA+	PAT_IgA+	5_PAT_IgA+
XR02.5.neg	XR02	Fecal	Control	Female	5	5	IgA-	Control_IgA-	5_Control_IgA-
XR05.5.neg	XR05	Fecal	Control	Female	5	5	IgA-	Control_IgA-	5_Control_IgA-
XR06.5.neg	XR06	Fecal	Control	Female	5	5	IgA-	Control_IgA-	5_Control_IgA-
XR09.5.neg	XR09	Fecal	Control	Male	5	5	IgA-	Control_IgA-	5_Control_IgA-
XR12.5.neg	XR12	Fecal	Control	Male	5	5	IgA-	Control_IgA-	5_Control_IgA-
XR13.5.neg	XR13	Fecal	Control	Male	5	5	IgA-	Control_IgA-	5_Control_IgA-
XR04.5.neg	XR04	Fecal	PAT	Female	5	5	IgA-	PAT_IgA-	5_PAT_IgA-
XR07.5.neg	XR07	Fecal	PAT	Female	5	5	IgA-	PAT_IgA-	5_PAT_IgA-
XR08.5.neg	XR08	Fecal	PAT	Female	5	5	IgA-	PAT_IgA-	5_PAT_IgA-
XR10.5.neg	XR10	Fecal	PAT	Male	5	5	IgA-	PAT_IgA-	5_PAT_IgA-
XR11.5.neg	XR11	Fecal	PAT	Male	5	5	IgA-	PAT_IgA-	5_PAT_IgA-
XR14.5.neg	XR14	Fecal	PAT	Male	5	5	IgA-	PAT_IgA-	5_PAT_IgA-
XR02.77ce.pre	XR02	Cecal	Control	Female	77	Cecal	Total	Control_Total	77_Control_Total
XR06.77ce.pre	XR06	Cecal	Control	Female	77	Cecal	Total	Control_Total	77_Control_Total
XR09.77ce.pre	XR09	Cecal	Control	Male	77	Cecal	Total	Control_Total	77_Control_Total
XR12.77ce.pre	XR12	Cecal	Control	Male	77	Cecal	Total	Control_Total	77_Control_Total
XR13.77ce.pre	XR13	Cecal	Control	Male	77	Cecal	Total	Control_Total	77_Control_Total
XR07.77ce.pre	XR07	Cecal	PAT	Female	77	Cecal	Total	PAT_Total	77_PAT_Total
XR08.77ce.pre	XR08	Cecal	PAT	Female	77	Cecal	Total	PAT_Total	77_PAT_Total
XR11.77ce.pre	XR11	Cecal	PAT	Male	77	Cecal	Total	PAT_Total	77_PAT_Total
XR14.77ce.pre	XR14	Cecal	PAT	Male	77	Cecal	Total	PAT_Total	77_PAT_Total
XR02.77ce.pos	XR02	Cecal	Control	Female	77	Cecal	IgA+	Control_IgA+	77_Control_IgA+
XR06.77ce.pos	XR06	Cecal	Control	Female	77	Cecal	IgA+	Control_IgA+	77_Control_IgA+
XR09.77ce.pos	XR09	Cecal	Control	Male	77	Cecal	IgA+	Control_IgA+	77_Control_IgA+
XR12.77ce.pos	XR12	Cecal	Control	Male	77	Cecal	IgA+	Control_IgA+	77_Control_IgA+
XR13.77ce.pos	XR13	Cecal	Control	Male	77	Cecal	IgA+	Control_IgA+	77_Control_IgA+
XR07.77ce.pos	XR07	Cecal	PAT	Female	77	Cecal	IgA+	PAT_IgA+	77_PAT_IgA+
XR08.77ce.pos	XR08	Cecal	PAT	Female	77	Cecal	IgA+	PAT_IgA+	77_PAT_IgA+
XR11.77ce.pos	XR11	Cecal	PAT	Male	77	Cecal	IgA+	PAT_IgA+	77_PAT_IgA+
XR14.77ce.pos	XR14	Cecal	PAT	Male	77	Cecal	IgA+	PAT_IgA+	77_PAT_IgA+
XR02.77ce.neg	XR02	Cecal	Control	Female	77	Cecal	IgA-	Control_IgA-	77_Control_IgA-
XR06.77ce.neg	XR06	Cecal	Control	Female	77	Cecal	IgA-	Control_IgA-	77_Control_IgA-
XR09.77ce.neg	XR09	Cecal	Control	Male	77	Cecal	IgA-	Control_IgA-	77_Control_IgA-
XR12.77ce.neg	XR12	Cecal	Control	Male	77	Cecal	IgA-	Control_IgA-	77_Control_IgA-
XR13.77ce.neg	XR13	Cecal	Control	Male	77	Cecal	IgA-	Control_IgA-	77_Control_IgA-
XR07.77ce.neg	XR07	Cecal	PAT	Female	77	Cecal	IgA-	PAT_IgA-	77_PAT_IgA-
XR08.77ce.neg	XR08	Cecal	PAT	Female	77	Cecal	IgA-	PAT_IgA-	77_PAT_IgA-
XR11.77ce.neg	XR11	Cecal	PAT	Male	77	Cecal	IgA-	PAT_IgA-	77_PAT_IgA-
XR14.77ce.neg	XR14	Cecal	PAT	Male	77	Cecal	IgA-	PAT_IgA-	77_PAT_IgA-
